Time,SS-RSRP,SS-RSRQ,SINR,DL Throughput[Mbps]
48:37.0,-83.74,-13.13,19.23,78.84
48:38.0,-84.83,-12.63,17.1,59.14
48:39.0,-85.74,-12.3,15.54,55.933
48:40.0,-86.16,-12.24,14.02,54.699
48:41.0,-85.67,-12.07,14.59,57.11
48:42.0,-84.59,-12.09,16.24,62.125
48:43.0,-85.94,-12,13.51,52.54
48:44.0,-85.62,-11.6,12.74,51.736
48:45.0,-86.92,-12.51,10.68,48.314
48:46.0,-87.75,-12.46,9.42,46.151
48:47.0,-89.6,-12.57,10.58,44.75
48:48.0,-87.92,-11.81,14.61,54.173
48:49.0,-87.81,-11.72,15.74,58.171
48:50.0,-86.94,-10.46,20.19,70.243
48:51.0,-88.27,-10.85,19.38,76.817
48:52.0,-86.8,-11.16,22.52,91.306
48:53.0,-88.56,-11.18,22.42,81.772
48:54.0,-89.06,-11.14,20.85,72.382
48:55.0,-83.64,-10.57,25.89,99.862
48:56.0,-83.95,-10.78,24.19,81.572
48:57.0,-87.84,-11.08,19.15,69.575
48:58.0,-88.35,-10.84,19.52,57.665
48:59.0,-89.03,-10.75,21.49,72.26
49:00.0,-85.1,-10.36,24.15,98.367
49:01.0,-81.15,-10.42,27.4,108.329
49:02.0,-84.59,-11.53,25.03,78.76
49:03.0,-86.34,-11.24,23.96,78.023
49:04.0,-87.25,-10.89,23.33,76.664
49:05.0,-86.49,-10.22,24.05,81.37
49:06.0,-89.62,-10.68,21.11,86.046
49:07.0,-88.62,-10.94,21.64,80.64
49:08.0,-89.88,-10.61,19.87,68.182
49:09.0,-90.13,-12.04,19.11,67.828
49:10.0,-92.92,-11.28,15.47,56.823
49:11.0,-91.79,-11.74,14.52,53.639
49:12.0,-89.92,-11.08,13.69,50.777
49:13.0,-90.27,-12.41,10.45,50.637
49:14.0,-93.28,-13.52,4.33,24.313
49:15.0,-93.52,-12.98,3.76,26.43
49:16.0,-95.82,-17.86,-4.62,35.221
49:16.6,,,,
49:17.0,-84.52,-11.69,20.63,87.238
49:18.0,-91.15,-12.14,16.37,62.27
49:19.0,-85.09,-12.32,22.87,118.368
49:20.0,-85.2,-12.03,23.34,128.058
49:21.0,-88.7,-12.12,22.64,122.822
49:22.0,-94.78,-11.63,17.17,78.077
49:23.0,-98.4,-11.62,14.59,65.137
49:24.0,-100.72,-12.2,13.05,61.079
49:25.0,-101.82,-13.1,8.15,44.309
49:26.0,-102.31,-14.33,4.81,31.477
49:27.0,,,,
49:27.0,-92.1,-13.89,11,46.675
49:28.0,-96.35,-14.78,8.74,45.063
49:29.0,-95.4,-14.22,10.27,45.089
49:30.0,-94.01,-13.3,11.63,49.215
49:31.0,-92.28,-13.23,13.61,56.629
49:32.0,-91.89,-13.27,15.05,56.491
49:33.0,-77.88,-14.25,25.56,113.266
49:34.0,-73.45,-14.24,26.61,124.594
49:35.0,-73.61,-14.22,26.65,135.133
49:36.0,-71.42,-14.23,27.8,139.804
49:37.0,-71.75,-15.01,26.58,88.476
49:38.0,-71.3,-14.35,26.44,124.286
49:39.0,-71.47,-13.69,26.92,158.894
49:40.0,-73.21,-13.53,26.62,158.979
49:41.0,-74.44,-13.39,26.35,159.322
49:42.0,-73.45,-13.29,26.48,159.428
49:43.0,-72.97,-13.22,26.35,159.609
49:44.0,-72.04,-13.07,26.7,159.322
49:45.0,-71.8,-13.07,26.9,159.422
49:46.0,-70.27,-13.03,27.15,159.264
49:47.0,-70.48,-12.85,27.15,159.187
49:48.0,-72.51,-12.8,26.41,159.362
49:49.0,-73.63,-12.88,27,159.152
49:50.0,-73.17,-12.88,25.4,158.876
49:51.0,-72.83,-12.82,25.68,159.425
49:52.0,-74.73,-12.8,25.61,159.447
49:53.0,-80.9,-12.02,23.57,127.929
49:54.0,-79.78,-12.53,26.56,118.735
49:55.0,-79.78,-12.26,27.07,145.103
49:56.0,-79.11,-13.18,26.72,109.722
49:57.0,-79.18,-12.08,26.65,142.129
49:58.0,-83.58,-13.4,24.79,118.271
49:59.0,-87.26,-12.38,23.06,96.2
50:00.0,-85.24,-12.63,21.31,110.48
50:01.0,-76.99,-12.87,26.39,159.085
50:02.0,-79.23,-13.23,25.94,127.614
50:03.0,-85.65,-12.34,23.94,99.701
50:04.0,-89.12,-12.45,22.41,90.32
50:05.0,-88.02,-12.11,22.01,96.628
50:06.0,-88.23,-12.02,22.46,108.955
50:07.0,-89.25,-12.52,22.03,90.195
50:08.0,-87.91,-12.08,23.9,106.334
50:09.0,-82.42,-12.36,26.37,127.151
50:10.0,-80.53,-12.17,27.17,128.324
50:11.0,-78.79,-12.79,26.88,129.542
50:12.0,-78.86,-13.28,26.75,135.646
50:13.0,-79.37,-13.59,24.67,115.519
50:14.0,-77.69,-11.27,25.6,109.309
50:15.0,-80.88,-10.73,25.98,114.459
50:16.0,-82.58,-11.43,25.61,120.358
50:17.0,-81.65,-11.67,24.87,117.886
50:18.0,-82.42,-12.11,24.65,106.569
50:19.0,-82.97,-12.91,24.41,99.243
50:20.0,-83.85,-12.78,23.28,85.037
50:21.0,-85,-11.65,22.42,82.782
50:22.0,-83.65,-11.82,23.08,78.43
50:23.0,-86.48,-11.03,21.36,69.198
50:24.0,-90.58,-10.71,18.63,62.383
50:25.0,-91.86,-10.28,17.95,57.454
50:26.0,-92.21,-10.16,17.83,56.59
50:27.0,-90.15,-9.79,18.4,56.453
50:28.0,-86.62,-12.68,18.65,78.823
50:29.0,-84.89,-14.08,19.55,90.961
50:30.0,-85.76,-13.98,19,99.357
50:31.0,-85.46,-14.86,18.59,95.076
50:32.0,-87.43,-15.37,16.22,87.286
50:33.0,-85.95,-15.37,16.49,80.466
50:34.0,-83.45,-15.44,17.55,93.976
50:35.0,-86.13,-15.42,16.66,87.132
50:36.0,-86.69,-16.28,16.55,93.498
50:37.0,-87.98,-16.36,15.46,103.857
50:38.0,-94.93,-16.47,10.1,56.91
50:39.0,-97.31,-17.34,7.96,54.318
50:40.0,-99.16,-18.23,0.4,23.768
50:41.0,-98.86,-16.73,5.89,45.195
50:42.0,-98.8,-17.43,8.06,51.882
50:43.0,-97.95,-17.31,7.09,46.207
50:44.0,-96.93,-17.59,7,46.416
50:45.0,-93.58,-17.48,8.25,59.205
50:46.0,-90.01,-16.92,12.06,72.784
50:47.0,-90.71,-16.81,11.36,62.392
50:48.0,-90.26,-17.16,9.79,67.656
50:49.0,-88.04,-16.98,12.57,92.026
50:50.0,-83.78,-17.73,14.18,122.544
50:51.0,-81.23,-18.02,13.97,124.327
50:52.0,-81.05,-18.18,13.2,119.174
50:53.0,-80,-18.04,12.96,122.023
50:54.0,-78.01,-18.14,14.87,127.151
50:55.0,-78.2,-18.05,13.53,117.288
50:56.0,-82.72,-18,9.59,83.989
50:57.0,-85.79,-17.02,7.44,54.73
50:58.0,-84.75,-16.97,8.89,68.355
50:59.0,-81.82,-17.08,15.77,111.67
51:00.0,-79.54,-16.98,15.75,112.1
51:01.0,-78.47,-16.17,15.53,86.647
51:02.0,-78.64,-15.79,16.54,91.368
51:03.0,-76.24,-16.56,15.9,110.649
51:04.0,-78.87,-17.08,13.13,91.37
51:05.0,-78.83,-16.59,16.1,100.344
51:06.0,-73.47,-16.25,17.6,111.198
51:07.0,-71.81,-15.82,15.74,105.255
51:08.0,-75.92,-15.2,15.18,81.6
51:09.0,-76.32,-16.25,13.52,97.317
51:10.0,-79.38,-15.57,11.76,74.722
51:11.0,-82.43,-14.72,11.37,61.587
51:12.0,-79.65,-14.1,15.13,69.179
51:13.0,-73.18,-14.68,17.8,101.64
51:14.0,-70.94,-15.5,13.92,107.381
51:15.0,-71.33,-15.28,12.97,98.708
51:16.0,-73.52,-15.51,13.93,101.809
51:17.0,-72.6,-15.45,16.99,119.895
51:18.0,-75.86,-15.3,16.15,104.938
51:19.0,-77.23,-15.22,14.26,82.23
51:20.0,-76.06,-14.81,14.92,89.444
51:21.0,-73.11,-15.4,17.44,96.918
51:22.0,-71.28,-15.27,18.95,115.37
51:23.0,-72.48,-15.48,15.48,105.518
51:24.0,-71.83,-16.18,17.46,77.293
51:25.0,-74.11,-14.46,14.31,59.225
51:26.0,-71.84,-14.73,14.51,65.571
51:27.0,-70.73,-14.34,13.3,72.16
51:28.0,-70.57,-15.08,11.2,71.132
51:29.0,-70.38,-14.47,12.72,85.261
51:30.0,-75.11,-14.13,13.72,59.463
51:31.0,-83.58,-12.81,18.84,77.107
51:32.0,-83.3,-12.42,19.85,78.941
51:33.0,-75.2,-14.29,21.86,76.547
51:34.0,-68.11,-13.35,21.35,101.741
51:35.0,-75.36,-11.97,20.48,83.401
51:36.0,-82.18,-10.88,22.1,82.004
51:37.0,-81.22,-10.39,22.43,86.454
51:38.0,-76.73,-10.76,24.91,94.408
51:39.0,-78.31,-9.9,25.03,94.03
51:40.0,-76.12,-11.45,26.92,83.999
51:41.0,-74.05,-11.27,27.13,92.14
51:42.0,-70.43,-10.97,27.13,95.143
51:43.0,-69.4,-10.75,27.32,104.447
51:44.0,-68.23,-10.84,29.19,133.902
51:45.0,-68.25,-11.7,29.31,142.926
51:46.0,-71.62,-11.95,28.08,131.457
51:47.0,-69.92,-12.43,27.07,152.803
51:48.0,-69.77,-12.39,26.97,149.379
51:49.0,-70.95,-12.22,27.4,153.812
51:50.0,-77.32,-11.02,28.02,129.958
51:51.0,-79.96,-10.36,26.58,110.082
51:52.0,-83.09,-10.3,25.83,103.447
51:53.0,-84.56,-9.97,26.25,108.155
51:54.0,-83.72,-9.22,26.04,90.383
51:55.0,-82.5,-8.65,26.34,103.346
51:56.0,-80.58,-8.46,25.69,82.309
51:57.0,-79.18,-8.58,26.77,81.34
51:58.0,-79.61,-9.46,27.43,91.921
51:59.0,-80.62,-10.53,25.79,89.457
52:00.0,-82.19,-10.42,26.88,102.12
52:01.0,-81.81,-10.41,27.03,125.053
52:02.0,-83.09,-10.33,27.15,122.135
52:03.0,-83.99,-10.31,26.02,116.178
52:04.0,-80.67,-10.26,27.64,123.446
52:05.0,-79.63,-10.11,27.51,119.336
52:06.0,-75.96,-10.33,29.09,124.636
52:07.0,-75.93,-9.93,29.4,132.568
52:08.0,-74.74,-9.97,29.35,113.329
52:09.0,-78.8,-9.88,27.95,105.648
52:10.0,-81.68,-10.07,25.12,90.12
52:11.0,-84.61,-10.46,23.06,69.602
52:12.0,-83.21,-10.15,23.85,93.421
52:13.0,-84.38,-9.92,23.02,75.435
52:14.0,-83.39,-9.6,23.44,82.461
52:15.0,-84.79,-9.98,21.57,71.505
52:16.0,-85.42,-9.88,19.65,63.588
52:17.0,-85.98,-10.88,19.54,65.474
52:18.0,-87.97,-11.13,17.09,60.399
52:19.0,-87.3,-10.15,16.93,60.934
52:20.0,-88.95,-11.26,14.38,59.167
52:21.0,-88.52,-12,13.8,55.921
52:22.0,-87.89,-12.33,14.88,56.903
52:23.0,-85.79,-12.41,13.67,57.207
52:24.0,-86.81,-12.74,11.62,55.988
52:25.0,-88.39,-11.91,12.19,52.707
52:26.0,-89.16,-11.74,10.77,49.719
52:27.0,-89.35,-12.22,9.09,38.501
52:28.0,-89.51,-12.2,10.52,43.315
52:29.0,-88.81,-11.29,12.52,47.935
52:30.0,-88.2,-11.58,14.52,55.462
52:31.0,-88.59,-11.19,14.87,54.271
52:32.0,-88.31,-10.91,16.64,61.272
52:33.0,-88.38,-11.48,15.11,52.76
52:34.0,-86.94,-11.82,17.21,60.835
52:35.0,-89.06,-11.75,16.66,61.023
52:36.0,-88.11,-10.98,17.28,59.514
52:37.0,-85.42,-11.07,17.82,66.64
52:38.0,-87.48,-11.42,15.8,60.256
52:39.0,-83.53,-12.05,19.18,75.557
52:40.0,-83.66,-12.08,19.14,74.145
52:41.0,-83.52,-11.7,20.38,73.986
52:42.0,-86.25,-11.61,17.89,65.94
52:43.0,-82.9,-12.85,20.9,78.379
52:44.0,-86.36,-12.2,17.37,61.453
52:45.0,-86.28,-11.81,19.31,65.641
52:46.0,-85.13,-10.9,21.34,71.041
52:47.0,-83.6,-11.09,21.01,82.329
52:48.0,-84.3,-10.7,20.78,78.542
52:49.0,-82.21,-10.42,22.89,81.505
52:50.0,-82.41,-10.3,23.36,81.042
52:51.0,-83.44,-10.26,23.9,90.496
52:52.0,-81.43,-10.55,25.28,86.984
52:53.0,-78.84,-10.81,27.1,87.565
52:54.0,-80.66,-10.86,25.25,82.723
52:55.0,-80.31,-10.67,24.37,78.942
52:56.0,-79.11,-9.83,25.23,86.301
52:57.0,-79.82,-9.53,24.72,100.941
52:58.0,-73.17,-9.52,27.63,101.625
52:59.0,-74.5,-9.12,26.08,81.991
53:00.0,-65.13,-9.95,26.26,96.928
53:01.0,-59.95,-9.68,26.31,112.79
53:02.0,-57.77,-9.91,27.2,150.93
53:03.0,-67.06,-9.13,27.75,101.066
53:04.0,-68.48,-8.27,27.41,99.976
53:05.0,-66.37,-8.61,27.8,118.199
53:06.0,-65.83,-8.94,28.32,115.273
53:07.0,-70.69,-8.91,27.77,115.119
53:08.0,-65.88,-9.36,27.68,122.578
53:09.0,-66.35,-9.83,27.52,113.846
53:10.0,-65.66,-9.88,26.75,123.031
53:11.0,-58.42,-9.86,26.76,126.581
53:12.0,-59.36,-10.11,27.16,149.167
53:13.0,-61.2,-10.57,27.17,141.202
53:14.0,-66.18,-11.1,25.79,121.135
53:15.0,-66.81,-11.16,27.13,113.259
53:16.0,-69.63,-11,26.86,134.517
53:17.0,-67.4,-12.54,28.2,135.006
53:18.0,-60.88,-13.42,28.88,146.475
53:19.0,-59.05,-14.76,26.68,153.156
53:20.0,-61.77,-14.83,27.67,157.995
53:21.0,-63.6,-14.54,27.22,155.9
53:22.0,-63.6,-14.34,27.69,158.986
53:23.0,-64.33,-15.76,26.72,156.985
53:24.0,-67.04,-21.33,23.02,159.186
53:25.0,-72.53,-24.67,19.85,156.319
53:26.0,-76.03,-24.64,17.69,144.769
53:27.0,-77.95,-22.94,18.86,150.761
53:28.0,-78.92,-21.59,20.16,146.38
53:29.0,-78.3,-21.46,18.54,115.455
53:30.0,-78.68,-18.43,19.49,79.466
53:31.0,-78.52,-15.82,19.97,79.648
53:32.0,-78.86,-12.79,18.61,78.969
53:33.0,-78.63,-12.15,17.49,76.079
53:34.0,-79.03,-11.22,15.54,65.701
53:35.0,-75.12,-9.5,16.87,61.323
53:36.0,-74.86,-9.49,15.7,65.255
53:37.0,-74.31,-11.76,14.97,77.186
53:38.0,-70.73,-12,17.39,97.746
53:39.0,-73.41,-13.84,18.89,109.123
53:40.0,-76.36,-20.15,14.09,114.993
53:41.0,-81.02,-18.43,16.59,91.274
53:42.0,-82.66,-19.22,21.09,78.907
53:43.0,-84.7,-15.41,20.18,71.172
53:44.0,-84.29,-11.8,21.55,70.454
53:45.0,-86.59,-11.85,20.04,59.495
53:46.0,-87.98,-12.11,18.55,55.305
53:47.0,-90.64,-12.71,18.42,55.349
53:48.0,-91.64,-19.68,13.75,72.48
53:49.0,-90.33,-19.68,14.85,74.463
53:50.0,-90.03,-19.71,16.62,73.745
53:51.0,-89.17,-20.46,16.87,77.511
53:52.0,-90.75,-20.51,15.3,73.481
53:53.0,-90.78,-20.86,14.01,70.474
53:54.0,-89.06,-17.87,12.12,48.104
53:55.0,-84.51,-13.26,19.06,69.297
53:56.0,-85.47,-14.46,20.3,72.665
53:57.0,-86.8,-17.13,18.86,59.717
53:58.0,-82.5,-13.87,8.19,67.062
53:59.0,-81.66,-13.97,18.32,77.525
54:00.0,-82.71,-13.32,9.94,64.592
54:01.0,-80.7,-15.2,12.69,79.095
54:02.0,-79.1,-14.63,14.54,92.469
54:03.0,-78.9,-15.44,15.04,74.447
54:04.0,-79.96,-15.12,15.57,83.341
54:05.0,-83.97,-14.86,13.86,81.977
54:06.0,-88.87,-14.29,11.88,66.67
54:07.0,-88.15,-14.13,12.19,72.823
54:08.0,-88.34,-12,14.54,55.443
54:09.0,-90.23,-12.51,14.37,74.757
54:10.0,-89.1,-11.55,15.21,73.227
54:11.0,-86.42,-9.85,18.46,69.31
54:12.0,-82.82,-8.77,21.7,68.55
54:13.0,-83.36,-10.16,20.93,75.424
54:14.0,-85.6,-9.49,19.38,49.87
54:15.0,-85.35,-10.66,19.91,84.466
54:16.0,-82.18,-10.23,20.88,70.16
54:17.0,-84.98,-11.34,19.47,75.811
54:18.0,-85.38,-12.81,21.38,80.277
54:19.0,-83.15,-11.83,22.09,81.256
54:20.0,-87.99,-11.56,19.22,67.374
54:21.0,-88.42,-10.24,18.09,39.094
54:22.0,-88.99,-10.32,16.38,49.27
54:23.0,-89.38,-9.85,15.7,36.882
54:24.0,-90.71,-9.7,14.16,29.275
54:25.0,-90.03,-9.69,13.56,31.661
54:26.0,-91.59,-9.5,11.11,30.892
54:27.0,-94.15,-9.61,11.28,20.266
54:28.0,-92.78,-9.18,15.3,52.674
54:29.0,-94.36,-10.56,19.17,54.487
54:30.0,-89.61,-11.36,12.92,41.733
54:31.0,-95.14,-12.34,13.48,41.433
54:32.0,-96.78,-14.32,9.92,64.463
54:33.0,-98.38,-13.65,14.13,64.08
54:34.0,-98.17,-12.52,10.95,50.296
54:35.0,-99.55,-10.99,8.76,22.763
54:36.0,-100.1,-13.85,13.85,49.278
54:37.0,-100.51,-13.45,14.21,53.792
54:38.0,-101.58,-14.01,13.56,56.358
54:39.0,-101.51,-14.01,12.32,53.678
54:40.0,-101.83,-14.27,11.4,45.698
54:41.0,-101.83,-14.16,11.87,50.872
54:42.0,-102.47,-13.76,12.65,44.579
54:43.0,-101.82,-12.29,13.88,27.827
54:44.0,-102.38,-12.85,12.89,26.235
54:45.0,-102.27,-12.55,13.04,26.004
54:46.0,-103.12,-12.6,12.59,19.161
54:47.0,-104.35,-13.63,11.05,20.868
54:48.0,-104.4,-14.33,10.02,19.172
54:49.0,-97.1,-11.21,15.65,33.81
54:50.0,-95.43,-12.44,10.26,50.704
54:51.0,-94.47,-12.97,12.1,42.998
